Category: All categories

Week,K-pop: (Worldwide)
2020-03-15,47
2020-03-22,47
2020-03-29,48
2020-04-05,49
2020-04-12,49
2020-04-19,52
2020-04-26,54
2020-05-03,49
2020-05-10,43
2020-05-17,43
2020-05-24,42
2020-05-31,50
2020-06-07,48
2020-06-14,55
2020-06-21,75
2020-06-28,48
2020-07-05,44
2020-07-12,43
2020-07-19,43
2020-07-26,44
2020-08-02,48
2020-08-09,52
2020-08-16,62
2020-08-23,59
2020-08-30,57
2020-09-06,68
2020-09-13,100
2020-09-20,94
2020-09-27,93
2020-10-04,69
2020-10-11,65
2020-10-18,66
2020-10-25,66
2020-11-01,55
2020-11-08,62
2020-11-15,62
2020-11-22,61
2020-11-29,76
2020-12-06,67
2020-12-13,67
2020-12-20,74
2020-12-27,81
2021-01-03,80
2021-01-10,71
2021-01-17,72
2021-01-24,68
2021-01-31,72
2021-02-07,67
2021-02-14,61
2021-02-21,60
2021-02-28,64
2021-03-07,59
2021-03-14,64
2021-03-21,74
2021-03-28,64
2021-04-04,64
2021-04-11,61
2021-04-18,64
2021-04-25,62
2021-05-02,57
2021-05-09,63
2021-05-16,48
2021-05-23,55
2021-05-30,57
2021-06-06,65
2021-06-13,60
2021-06-20,57
2021-06-27,55
2021-07-04,59
2021-07-11,73
2021-07-18,76
2021-07-25,68
2021-08-01,62
2021-08-08,68
2021-08-15,54
2021-08-22,59
2021-08-29,68
2021-09-05,62
2021-09-12,61
2021-09-19,57
2021-09-26,59
2021-10-03,59
2021-10-10,50
2021-10-17,51
2021-10-24,60
2021-10-31,61
2021-11-07,58
2021-11-14,64
2021-11-21,64
2021-11-28,62
2021-12-05,68
2021-12-12,62
2021-12-19,63
2021-12-26,71
2022-01-02,70
2022-01-09,60
2022-01-16,61
2022-01-23,63
2022-01-30,63
2022-02-06,60
2022-02-13,64
2022-02-20,59
2022-02-27,58
2022-03-06,57
2022-03-13,58
2022-03-20,65
2022-03-27,67
2022-04-03,64
2022-04-10,69
2022-04-17,62
2022-04-24,62
2022-05-01,62
2022-05-08,64
2022-05-15,56
2022-05-22,58
2022-05-29,54
2022-06-05,54
2022-06-12,65
2022-06-19,55
2022-06-26,54
2022-07-03,49
2022-07-10,54
2022-07-17,57
2022-07-24,57
2022-07-31,56
2022-08-07,53
2022-08-14,58
2022-08-21,53
2022-08-28,53
2022-09-04,47
2022-09-11,45
2022-09-18,48
2022-09-25,50
2022-10-02,51
2022-10-09,48
2022-10-16,53
2022-10-23,51
2022-10-30,53
2022-11-06,51
2022-11-13,48
2022-11-20,47
2022-11-27,49
2022-12-04,49
2022-12-11,53
2022-12-18,45
2022-12-25,49
2023-01-01,51
2023-01-08,44
2023-01-15,43
2023-01-22,46
2023-01-29,45
2023-02-05,45
2023-02-12,48
2023-02-19,50
2023-02-26,50
2023-03-05,49
2023-03-12,59
2023-03-19,48
2023-03-26,51
2023-04-02,49
2023-04-09,54
2023-04-16,73
2023-04-23,65
2023-04-30,56
2023-05-07,53
2023-05-14,48
2023-05-21,49
2023-05-28,54
2023-06-04,54
2023-06-11,59
2023-06-18,54
2023-06-25,59
2023-07-02,57
2023-07-09,57
2023-07-16,69
2023-07-23,62
2023-07-30,55
2023-08-06,64
2023-08-13,53
2023-08-20,57
2023-08-27,53
2023-09-03,50
2023-09-10,51
2023-09-17,53
2023-09-24,50
2023-10-01,51
2023-10-08,56
2023-10-15,47
2023-10-22,49
2023-10-29,50
2023-11-05,52
2023-11-12,54
2023-11-19,56
2023-11-26,60
2023-12-03,59
2023-12-10,54
2023-12-17,52
2023-12-24,57
2023-12-31,58
2024-01-07,42
2024-01-14,50
2024-01-21,51
2024-01-28,53
2024-02-04,57
2024-02-11,56
2024-02-18,58
2024-02-25,51
2024-03-03,57
2024-03-10,52
2024-03-17,51
2024-03-24,59
2024-03-31,58
2024-04-07,59
2024-04-14,56
2024-04-21,55
2024-04-28,60
2024-05-05,57
2024-05-12,53
2024-05-19,55
2024-05-26,54
2024-06-02,66
2024-06-09,55
2024-06-16,60
2024-06-23,67
2024-06-30,60
2024-07-07,54
2024-07-14,58
2024-07-21,53
2024-07-28,54
2024-08-04,55
2024-08-11,63
2024-08-18,66
2024-08-25,65
2024-09-01,57
2024-09-08,57
2024-09-15,60
2024-09-22,57
2024-09-29,56
2024-10-06,59
2024-10-13,57
2024-10-20,58
2024-10-27,59
2024-11-03,63
2024-11-10,59
2024-11-17,62
2024-11-24,64
2024-12-01,60
2024-12-08,61
2024-12-15,56
2024-12-22,63
2024-12-29,69
2025-01-05,60
2025-01-12,60
2025-01-19,64
2025-01-26,65
2025-02-02,57
2025-02-09,60
2025-02-16,70
2025-02-23,64
2025-03-02,65
2025-03-09,74
2025-03-16,82
